Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT_SWITCH1,SKRPABE010,SW_SKRPABE010,42.35,35.85,90.0,top
C1,10u,C_0805_2012Metric,27.65,15.35,-90.0,top
C2,10u,C_0805_2012Metric,11.23875,8.85,-90.0,top
C3,10u,C_0805_2012Metric,13.46125,8.85,-90.0,top
C4,10u,C_0805_2012Metric,20.85,21.4,90.0,top
C5,10u,C_0805_2012Metric,18.6,21.4,90.0,top
C6,100n,C_0805_2012Metric,9.05,8.85,-90.0,top
C7,100n,C_0805_2012Metric,16.385,21.4,90.0,top
C8,1u,C_0805_2012Metric,20.85,31.35,90.0,top
C9,100n,C_0805_2012Metric,9.6,12.35,0.0,top
C10,100n,C_0805_2012Metric,3.6,17.6,-90.0,top
C11,10u,C_0805_2012Metric,5.85,17.6,-90.0,top
C12,10u,C_0805_2012Metric,32.15,15.35,90.0,top
C13,1u,C_0805_2012Metric,18.6,27.6,-90.0,top
C14,1u,C_0805_2012Metric,25.35,27.6,90.0,top
C15,100n,C_0805_2012Metric,14.35,33.6,90.0,top
C16,1u,C_0805_2012Metric,43.6,30.85,-90.0,top
C17,100n,C_0805_2012Metric,19.6,50.6,0.0,top
C18,10u,C_0805_2012Metric,29.9,15.35,-90.0,top
C19,10u,C_0805_2012Metric,19.6,48.35,0.0,top
C20,10u,C_0805_2012Metric,19.6,46.1,0.0,top
C21,100n,C_0805_2012Metric,27.6,31.35,-90.0,top
C22,10u,C_0805_2012Metric,27.6,27.6,90.0,top
D2,D_Schottky,D_SMA,18.9,17.1,180.0,top
D3,RED_SIDE_LED,A-SP170SR6C-A01-4C,23.8675,1.7325,180.0,top
D4,D_Schottky,D_SMA,26.85,19.5,180.0,top
D5,LED_Dual_KKA,12-22SURSYGC_S530-A3_E2_TR8,19.55,52.953483,0.0,top
IC2,TP4056,SOP127P600X175-9N,29.4,10.6,180.0,top
IC3,XL293,SO20,7.1,26.85,-90.0,top
J2,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,41.6,44.1,180.0,top
J3,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,32.025,1.35,0.0,top
L1,GCNR6045-220MC,GCNR6045-220MC,19.0,11.21,-90.0,top
Q3,DMG2305,SOT23-WIDE,24.6,15.4,0.0,top
R1,18k,R_0805_2012Metric,13.35,18.35,0.0,top
R2,10k,R_0805_2012Metric,24.65,9.85,-90.0,top
R3,470R,R_0805_2012Metric,13.35,16.1,180.0,top
R4,4k7,R_0805_2012Metric,35.65,12.85,0.0,top
R5,5k1,R_0805_2012Metric,39.9,9.6,90.0,top
R6,1k,R_0805_2012Metric,23.85,3.6,180.0,top
R7,1k,R_0805_2012Metric,18.6,31.35,90.0,top
R8,5k1,R_0805_2012Metric,42.15,9.6,-90.0,top
R9,10k,R_0805_2012Metric,41.35,30.85,-90.0,top
R11,1k,R_0805_2012Metric,19.6,37.1,180.0,top
R12,1k,R_0805_2012Metric,19.6,41.6,180.0,top
R13,1k,R_0805_2012Metric,25.35,31.35,-90.0,top
R14,10k,R_0805_2012Metric,23.1,31.35,90.0,top
R15,100k,R_0805_2012Metric,11.1,47.35,0.0,top
R16,100k,R_0805_2012Metric,11.1,39.85,0.0,top
R17,10k,R_0805_2012Metric,39.35,34.6,90.0,top
R18,1k,R_0805_2012Metric,19.6,34.85,180.0,top
R19,470R,R_0805_2012Metric,15.85,46.1,0.0,top
R20,470R,R_0805_2012Metric,15.85,48.35,0.0,top
R21,470R,R_0805_2012Metric,15.85,52.85,180.0,top
R22,1k,R_0805_2012Metric,19.6,39.35,180.0,top
R23,470R,R_0805_2012Metric,15.85,50.6,0.0,top
RESET_SWITCH1,SKRPABE010,SW_SKRPABE010,37.35,30.85,180.0,top
RSHUNT1,500m,R_0805_2012Metric,9.35,18.35,180.0,top
S1,SK-12D02-VG3,SK12D02VG3,14.1,2.4,0.0,top
U1,USBLC6-2P6,SOT-666,35.65,9.6,180.0,top
U2,AP2112K-3.3,SOT-23-5,21.9625,27.6,0.0,top
U3,ESP32-S3-MINI-1-N8,XCVR_ESP32-S3-MINI-1-N8,30.1,41.85,0.0,top
U4,INA180A3,SOT-23-5,9.2375,15.4,180.0,top
U6,MT3608,SOT-23-6,13.3,12.85,-90.0,top
X1,JST-PH,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,4.1,9.6,0.0,top
X2,JST-XH-02-PIN-LONG-PAD,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4.85,45.075,0.0,top
X4,JST-XH-02-PIN-LONG-PAD,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4.85,37.575,0.0,top
